timestamp, x, y, width, 
7.400000, 1512, 237, 1189, 
7.440000, 2009, 341, 1189, 
7.480000, 2270, 395, 1189, 
7.520000, 1748, 287, 1191, 
7.560000, 2541, 452, 1191, 
7.600000, 2062, 352, 1191, 
7.640000, 2409, 424, 1191, 
7.680000, 2259, 393, 1191, 
7.720000, 2124, 365, 1192, 
7.760000, 1440, 223, 1192, 
7.800000, 2261, 394, 1192, 
7.840000, 2359, 414, 1192, 
7.880000, 2466, 437, 1192, 
7.920000, 2312, 371, 1005, 
7.960000, 2263, 361, 1005, 
8.000000, 2434, 397, 1005, 
8.040000, 2162, 340, 1005, 
8.080000, 2346, 378, 1005, 
8.120000, 2439, 398, 1006, 
8.160000, 2074, 322, 1006, 
8.200000, 1878, 281, 1006, 
8.240000, 1494, 201, 1006, 
8.280000, 2262, 361, 1006, 
8.320000, 2330, 375, 1005, 
8.360000, 1394, 180, 1005, 
8.400000, 2054, 317, 1005, 
8.440000, 1591, 221, 1005, 
8.480000, 2031, 313, 1005, 
8.520000, 1569, 216, 1005, 
8.560000, 2113, 330, 1005, 
8.600000, 1671, 238, 1005, 
8.640000, 1684, 240, 1005, 
8.680000, 1572, 217, 1005, 
8.720000, 1391, 179, 1006, 
8.760000, 2035, 313, 1006, 
8.800000, 1563, 215, 1006, 
8.840000, 2056, 318, 1006, 
8.880000, 1894, 284, 1006, 
8.920000, 2425, 395, 1004, 
8.960000, 1628, 229, 1004, 
9.000000, 1935, 293, 1004, 
9.040000, 2134, 334, 1004, 
9.080000, 1436, 189, 1004, 
9.120000, 1849, 275, 1004, 
9.160000, 1988, 304, 1004, 
9.200000, 2393, 388, 1004, 
9.240000, 1825, 270, 1004, 
9.280000, 1693, 242, 1004, 
9.320000, 2282, 365, 1003, 
9.360000, 1806, 266, 1003, 
9.400000, 1309, 162, 1003, 
9.440000, 1703, 244, 1003, 
9.480000, 1995, 305, 1003, 
9.520000, 2265, 361, 1005, 
9.560000, 1561, 169, 829, 
9.600000, 2070, 275, 829, 
9.640000, 1848, 228, 829, 
9.680000, 1847, 228, 829, 
9.720000, 1641, 186, 829, 
9.760000, 2110, 283, 829, 
9.800000, 1500, 156, 829, 
9.840000, 2006, 262, 829, 
9.880000, 1337, 122, 829, 
9.920000, 1760, 274, 1050, 
9.960000, 2085, 342, 1050, 
10.000000, 2060, 336, 1050, 
10.040000, 2018, 328, 1050, 
10.080000, 1683, 258, 1050, 
10.120000, 1594, 272, 1238, 
10.160000, 2083, 374, 1238, 
10.200000, 2104, 378, 1238, 
10.240000, 2223, 403, 1238, 
10.280000, 1760, 306, 1238, 
10.320000, 2238, 403, 1233, 
10.360000, 1715, 327, 1420, 
10.400000, 2543, 500, 1420, 
10.440000, 2271, 443, 1420, 
10.480000, 2235, 435, 1420, 
10.520000, 1779, 340, 1420, 
10.560000, 2096, 406, 1420, 
10.600000, 1583, 300, 1420, 
10.640000, 1783, 341, 1420, 
10.680000, 2493, 489, 1420, 
10.720000, 2276, 443, 1420, 
10.760000, 1593, 301, 1420, 
10.800000, 1618, 304, 1417, 
10.840000, 2034, 292, 1161, 
10.880000, 2282, 344, 1161, 
10.920000, 2303, 348, 1161, 
10.960000, 2387, 365, 1161, 
11.000000, 1952, 275, 1161, 
11.040000, 2513, 392, 1161, 
11.080000, 1952, 275, 1161, 
11.120000, 2003, 286, 1163, 
11.160000, 1842, 252, 1163, 
11.200000, 2757, 443, 1163, 
11.240000, 1628, 206, 1162, 
11.280000, 2577, 404, 1162, 
11.320000, 2011, 287, 1168, 
11.360000, 1958, 239, 946, 
11.400000, 2244, 298, 946, 
11.440000, 2846, 424, 946, 
11.480000, 2806, 414, 932, 
11.520000, 2627, 385, 956, 
11.560000, 2551, 369, 956, 
11.600000, 1885, 231, 956, 
11.640000, 2536, 366, 956, 
11.680000, 2188, 294, 956, 
11.720000, 2633, 391, 983, 
11.760000, 2828, 432, 983, 
11.800000, 2797, 425, 983, 
11.840000, 2734, 412, 983, 
11.880000, 1976, 254, 983, 
11.920000, 2704, 404, 909, 
11.960000, 2421, 345, 909, 
12.000000, 2132, 285, 909, 
12.040000, 2832, 431, 909, 
12.080000, 2837, 432, 909, 
12.120000, 2798, 427, 924, 
12.160000, 2365, 337, 924, 
12.200000, 2455, 356, 924, 
12.240000, 1979, 257, 924, 
12.280000, 2107, 283, 924, 
12.320000, 2787, 431, 936, 
12.360000, 2359, 342, 936, 
12.400000, 2326, 335, 936, 
12.440000, 2791, 427, 893, 
12.480000, 2387, 343, 896, 
12.520000, 2157, 295, 899, 
12.560000, 2035, 273, 909, 
12.600000, 2620, 393, 919, 
